Key,english
resource44MagnumBulletAPBundleKy,Bundle of AP 44 Magnum Bullets(300)
resource44MagnumBulletBallBundleKy,Bundle of 44 Magnum Bullets(300)
resource44MagnumBulletHPBundleKy,Bundle of HP 44 Magnum Bullets(300)
resource762mmBulletAPBundleKy,Bundle of AP 7.62mm Bullets(150)
resource762mmBulletBallBundleKy,Bundle of 7.62mm Bullets(150)
resource762mmBulletHPBundleKy,Bundle of HP 7.62mm Bullets(150)
resource9mmBulletAPBundleKy,Bundle of AP 9mm Bullets(300)
resource9mmBulletBallBundleKy,Bundle of 9mm Bullets(300)
resource9mmBulletHPBundleKy,Bundle of HP 9mm Bullets(300)
resourceArrowExplodingBundleKy,Bundle of Exploding Arrows(75)
resourceArrowFlamingBundleKy,Bundle of Flaming Arrows(150)
resourceArrowIronBundleKy,Bundle of Iron Arrows(150)
resourceArrowSteelAPBundleKy,Bundle of Steel Arrows(150)
resourceArrowStoneBundleKy,Bundle of Stone Arrows(150)
resourceCrossbowBoltExplodingBundleKy,Bundle of Exploding Crossbow Bolts(75)
resourceCrossbowBoltFlamingBundleKy,Bundle of Flaming Crossbow Bolts(150)
resourceCrossbowBoltIronBundleKy,Bundle of Iron Crossbow Bolts(150)
resourceCrossbowBoltSteelAPBundleKy,Bundle of Steel Crossbow Bolts(150)
resourceCrossbowBoltStoneBundleKy,Bundle of Stone Crossbow Bolts(150)
resourceDartIronBundleKy,Bundle of Iron Darts(500)
resourceGasCanBundleKy,Bundle of Gas Cans(10000)
resourceJunkTurretAPBundleKy,Bundle of AP Robotic Turret Ammo(1000)
resourceJunkTurretRegularBundleKy,Bundle of Robotic Turret Ammo(1000)
resourceJunkTurretShellBundleKy,Bundle of Robotic Turret Shells(1000)
resourceRocketFragBundleKy,Bundle of Frag Rockets(20)
resourceRocketHEBundleKy,Bundle of HE Rockets(20)
resourceShotgunBreachingSlugBundleKy,Bundle of Shotgun Breaching Slugs(150)
resourceShotgunShellBundleKy,Bundle of Shotgun Shells(150)
resourceShotgunSlugBundleKy,Bundle of Shotgun Slugs(150)
resourcearmorPartsBundleKy,Bundle of Armor Parts(50)
resourceCanMegaCrushBundleKy,Bundle of Mega Crush(10)
resourceJarBeerBundleKy,Bundle of Beers(10)
resourceJarBlackStrapCoffeeBundleKy,Bundle of Black Strap Coffee(10)
resourceJarBoiledWaterBundleKy,Bundle of Boiled Water(10)
resourceJarCoffeeBundleKy,Bundle of Coffee(10)
resourceJarGoldenRodTeaBundleKy,Bundle of Goldenrod Tea(10)
resourceJarGrandpasAwesomeSauceBundleKy,Bundle of Grandpa's Awesome Sauce(10)
resourceJarGrandpasForgettingElixirBundleKy,Bundle of Grandpa's Fergit'n Elixir(10)
resourceJarGrandpasLearningElixirBundleKy,Bundle of Grandpa's Learnin' Elixir(10)
resourceJarGrandpasMoonshineBundleKy,Bundle of Grandpa's Moonshine(10)
resourceJarPureMineralWaterBundleKy,Bundle of Pure Mineral Water(10)
resourceJarRedTeaBundleKy,Bundle of Read Tea(10)
resourceJarRiverWaterBundleKy,Bundle of Murky Water(125)
resourceJarYuccaJuiceBundleKy,Bundle of Yucca Juice(10)
resourceYuccaJuiceSmoothieBundleKy,Bundle of Yucca Juice Smoothie(10)
resourceAntibioticsBundleKy,Bundle of Antibiotics(10)
resourceAtomJunkiesBundleKy,Bundle of Atom Junkies(10)
resourceCovertCatsBundleKy,Bundle of Covert Cats(10)
resourceEyeKandyBundleKy,Bundle of Eye Candy(10)
resourceFortBitesBundleKy,Bundle of Fort Bites(10)
resourceHackersBundleKy,Bundle of Hackers(10)
resourceHealthBarBundleKy,Bundle of Health Bars(10)
resourceHerbalAntibioticsBundleKy,Bundle of Hearbal Antibiotics(10)
resourceJailBreakersBundleKy,Bundle of Jail Breakers(10)
resourceNerdTatsBundleKy,Bundle of Nerd Tats(10)
resourceOhShitzDropsBundleKy,Bundle of Oh Shitz Drops(10)
resourcePainkillersBundleKy,Bundle of Painkillers(10)
resourceRecogBundleKy,Bundle of Recog(10)
resourceRockBustersBundleKy,Bundle of Rock Busters(10)
resourceSkullCrushersBundleKy,Bundle of Skill Crushers(10)
resourceSteroidsBundleKy,Bundle of Steroids(10)
resourceSugarButtsBundleKy,Bundle of Sugar Butts(10)
resourceVitaminsBundleKy,Bundle of Vitamins(10)
resourceBaconAndEggsBundleKy,Bundle of Bacon and Eggs(10)
resourceBakedPotatoBundleKy,Bundle of Baked Potatos(10)
resourceBlueberryPieBundleKy,Bundle of Blueberry Pies(10)
resourceBoiledMeatBundleKy,Bundle of Boiled Meat(10)
resourceCanBeefBundleKy,Bundle of Large Beef Rations(10)
resourceCanCatfoodBundleKy,Bundle of Cans of Cat Food(10)
resourceCanChickenBundleKy,Bundle of Chicken Rations(10)
resourceCanChiliBundleKy,Bundle of Cans of Chili(10)
resourceCanDogfoodBundleKy,Bundle of Cans of Dog Food(10)
resourceCanLambBundleKy,Bundle of Lamb Rations(10)
resourceCanMisoBundleKy,Bundle of Cans of Miso(10)
resourceCanPastaBundleKy,Bundle of Cans of Pasta(10)
resourceCanPearsBundleKy,Bundle of Cans of Pears(10)
resourceCanPeasBundleKy,Bundle of Cans of Peas(10)
resourceCanSalmonBundleKy,Bundle of Cans of Salmon(10)
resourceCanShamBundleKy,Bundle of Cans of Sham(10)
resourceCanSoupBundleKy,Bundle of Chicken Soup(10)
resourceCanStockBundleKy,Bundle of Cans of Stock(10)
resourceCanTunaBundleKy,Bundle of Cans of Tuna(10)
resourceCharredMeatBundleKy,Bundle of Charred Meat(10)
resourceChiliDogBundleKy,Bundle of Chili Dogs(10)
resourceCornBreadBundleKy,Bundle of Corn Bread(10)
resourceCornMealBundleKy,Bundle of Cornmeal(125)
resourceCornOnTheCobBundleKy,Bundle of Grilled Corn(10)
resourceCropBlueberriesBundleKy,Bundle of Blueberries(125)
resourceCropCornBundleKy,Bundle of Corn(125)
resourceCropGraceCornBundleKy,Bundle of Super Corn(125)
resourceCropMushroomsBundleKy,Bundle of Mushrooms(125)
resourceCropPotatoBundleKy,Bundle of Potatos(125)
resourceCropPumpkinBundleKy,Bundle of Pumpkins(125)
resourceCropYuccaFruitBundleKy,Bundle of Yucca Fruit(125)
resourceEggBundleKy,Bundle of Eggs(125)
resourceEggBoiledBundleKy,Bundle of Boiled Egg(10)
resourceFishTacosBundleKy,Bundle of Fish Tacos(10)
resourceGrilledMeatBundleKy,Bundle of Grilled Meat(10)
resourceGumboStewBundleKy,Bundle of Gumbo Stew(10)
resourceHoboStewBundleKy,Bundle of Hobo Stew(10)
resourceHoneyBundleKy,Bundle of Honey(10)
resourceMeatStewBundleKy,Bundle of Meat Stew(10)
resourcePumpkinBreadBundleKy,Bundle of Pumpkin Bread(10)
resourcePumpkinCheesecakeBundleKy,Bundle of Pumpkin Cheesecakes(10)
resourcePumpkinPieBundleKy,Bundle of Pumpkin Pies(10)
resourceRawMeatBundleKy,Bundle of Raw Meat(125)
resourceRottingFleshBundleKy,Bundle of Rotting Flesh(125)
resourceShamChowderBundleKy,Bundle of Sham Chowder(10)
resourceShamSandwichBundleKy,Bundle of Old Sham Sandwiches(10)
resourceShepardsPieBundleKy,Bundle of Shepards Pie(10)
resourceSpaghettiBundleKy,Bundle of Spaghetti(10)
resourceSteakAndPotatoBundleKy,Bundle of Steak and Potatos(10)
resourceTunaFishGravyToastBundleKy,Bundle of Tuna Fish Gravy Toast(10)
resourceVegetableStewBundleKy,Bundle of Vegetable Stew(10)
resourceBotRoboticsPartsBundleKy,Bundle of Robotics Parts(50)
resourceBowT1WoodenBowPartsBundleKy,Bundle of Bow / Crossbow Parts(50)
resourceExplosivesT3RocketLauncherPartsBundleKy,Bundle of Rocket Launcher Parts(50)
resourceHandgunT1PistolPartsBundleKy,Bundle of Handgun Parts(50)
resourceMGT1AK47PartsBundleKy,Bundle of Machine Gun Parts(50)
resourceRifleT1HuntingRiflePartsBundleKy,Bundle of Rifle Parts(50)
resourceShotgunT1DoubleBarrelPartsBundleKy,Bundle of Shotgun Parts(50)
resourceAloeCreamBundleKy,Bundle of Aloe Cream(15)
resourceBandageBundleKy,Bundle of Bandages(10)
resourceBloodBagBundleKy,Bundle of Blood Bags(15)
resourceFirstAidBandageBundleKy,Bundle of First Aid Bandages(5)
resourceFirstAidKitBundleKy,Bundle of First Aid Kits(5)
resourcePlasterCastBundleKy,Bundle of Plaster Casts(5)
resourceSplintBundleKy,Bundle of Splints(5)
resourceToolAllSteelPartsBundleKy,Bundle of Steel Tool Parts(50)
resourceToolAxeT3ChainsawPartsBundleKy,Bundle of Motor Tool Parts(50)
resourceWpnBatonT2StunBatonPartsBundleKy,Bundle of Baton Parts(50)
resourceWpnBladeT3MachetePartsBundleKy,Bundle of Machete Parts(50)
resourceWpnClubT3SteelClubPartsBundleKy,Bundle of Steel Club Parts(50)
resourceWpnKnucklesT3SteelKnucklesPartsBundleKy,Bundle of Steel Knuckles Parts(50)
resourceWpnSledgeT3SteelSledgehammerPartsBundleKy,Bundle of Steel Sledgehammer Parts(50)
resourceWpnSpearT3SteelSpearPartsBundleKy,Bundle of Steel Spear Parts(50)
resourceoldCashBundleKy,Bundle of Old Cash(10000)
